Query Type,English,Arabic
Use as per required information - Ask order number/registered details/ email ID,"Could you share your registered details in our app, such as your mobile number, order number, or email address? This will help me assist you better!","هل يمكنك مشاركة تفاصيلك المسجلة في تطبيقنا، مثل رقم الهاتف، رقم الطلب، أو عنوان البريد الإلكتروني؟ سيساعدني ذلك في خدمتك بشكل أفضل!
"
Refund Request confirmation from CX - below 15 AED/SAR,"I have looked into this and sincerely apologize for the inconvenience. We can proceed with a refund of AED xxx for the item(s), which will be credited to your original payment method within 3-7 working days, depending on your bank’s policy.

Please confirm so I can submit the refund request to our team.
","بعد التحقق، أعتذر بصدق عن أي إزعاج. يمكننا المضي قدمًا في استرداد مبلغ XXX درهم إماراتي مقابل المنتج/المنتجات، وسيتم تحويله إلى وسيلة الدفع الأصلية خلال 3 إلى 7 أيام عمل، وفقًا لسياسة البنك الخاص بك.
يرجى تأكيد ذلك حتى أتمكن من تقديم طلب الاسترداد إلى الفريق المختص."
Refund Request confirmation from CX - below 15 AED/SAR,"If you still need the item(s), you may place a new order, and we’ll do our best to ensure a smooth experience for you. I truly appreciate your patience and understanding.",إذا كنت لا تزال بحاجة إلى المنتج/المنتجات، يمكنك تقديم طلب جديد، وسنحرص على توفير تجربة سلسة لك. نقدر حقًا صبرك وتفهمك.
Exceptional refund offer below AED/SAR 15,"As an exception, we are proceeding with the refund this time. For any similar issues in the future, please try to keep the store invoice, as it will help our team assist you more smoothly. I appreciate your understanding.",كاستثناء، سنقوم بمعالجة استرداد المبلغ هذه المرة. في المستقبل، يُفضل الاحتفاظ بفاتورة المتجر، حيث سيساعد ذلك فريقنا في تقديم المساعدة بشكل أسرع. نقدر تفهمك!
If Cx requests to Add a New Store on NowNow/noon app which is near to him,"Thank you for choosing NowNow as your preferred shopping app and for sharing this with us! We're working hard to onboard more stores on NowNow and Noon to better serve our valued customers.

If you have any suggestions for new stores in your area, feel free to reach out to us at partnerships@noonnownow.com.","شكرًا لاختيارك ناو ناو كتطبيق التسوق المفضل لديك ولمشاركتنا ملاحظاتك! نحن نسعى دائمًا لإضافة المزيد من المتاجر على ناو ناو ونون لتحسين تجربة عملائنا.
إذا كان لديك أي اقتراحات لمتاجر جديدة في منطقتك، يُرجى التواصل معنا عبر البريد الإلكتروني: partnerships@noonnownow.com."
NEW30 T&C (For New Users),"Coupon Code: NEW30

- Max Discount: 30% (up to AED 20)
- Eligible Customers: New users
- Usage: Valid on the first 3 orders
- Minimum Order Value: AED 50
- Valid Until: December 31, 2025

Stay tuned to our app and social media pages for future promotions!","رمز الكوبون: NEW30

✅ الحد الأقصى للخصم: 30٪ (حتى 20 درهم)
✅ المؤهلون: المستخدمون الجدد
✅ عدد مرات الاستخدام: صالح لأول 3 طلبات
✅ الحد الأدنى لقيمة الطلب: 50 درهم
✅ الصلاحية: حتى 31 ديسمبر 2025

💡 تابع تطبيقنا وصفحاتنا على وسائل التواصل الاجتماعي للبقاء على اطلاع بأحدث العروض!"
Order can not be cancelled once placed. ,You can cancel the order from the Orders page before it is accepted or processed by the merchant,"يمكنك إلغاء طلبك من صفحة 'الطلبات' قبل أن يتم قبوله أو معالجته من قبل التاجر.
"
Order can not be cancelled once accepted/Processed,"Once an order is accepted, it cannot be returned or replaced, as stated in the app. Unfortunately, this also means it cannot be canceled. I appreciate your patience and understanding","بمجرد قبول الطلب، لا يمكن إرجاعه أو استبداله، كما هو موضح في التطبيق. للأسف، هذا يعني أيضًا عدم إمكانية إلغائه. نقدر تفهمك!
"
"Retention Script for ""Due to Delay Cases"" (A)

Assures CX that we highlighted his order personally to expedite and see if Cx is keeping the order","I'm really sorry for the trouble you've faced—I get how frustrating that must be.

Let me check what options we have right away, and I’ll do my best to speed things up and get this sorted for you as quickly as possible.","أعتذر جدًا على الإزعاج اللي واجهته، ومتفهم تمامًا قد إيش الموضوع كان مزعج لك.

راح أتحقق من البدائل المتاحة فورًا، وبأسرع وقت ممكن بحاول أتابع الموضوع شخصيًا علشان نحل المشكلة بأسرع وقت."
Due to Delay Cases (B),"Additionally, I’d like to offer you a coupon code for your next order: (XXXXX). We truly hope to serve you better moving forward. Thank you so much for your patience.",وبالإضافة إلى ذلك، حاب أقدم لك كود خصم لطلبك القادم: (XXXXX). نأمل أن نخدمك بشكل أفضل في المرات القادمة، وشكرًا جزيلًا على صبرك وتفهمك.
Due to Delay Cases (C),"This is definitely not the experience we want for our customers. I can arrange a refund of the delivery fee for this order.

If that works for you, I’ll raise a ticket right away to get it processed. Would you like me to proceed?","هذا بالتأكيد مو النوع من التجارب اللي نتمناها لعملائنا. أقدر أرجع لك رسوم التوصيل على هذا الطلب.

إذا كان يناسبك، راح أفتح تذكرة الآن علشان نبدأ في إجراءات الاسترداد. تحب أتابع؟"
"
Due to Delay (D) - If still Cx asks to Cancel the Order, Use this Script >>","
I'm really sorry to know you’d still like to cancel the order. I’ve processed your cancellation request, and the refund will be issued to the original payment method you used. It should reflect within 3–7 working days for debit/credit card or Apple Pay, and within 24–48 hours for Noon Credits, if applicable.

You’re welcome to use the coupon code I shared earlier on your next order. We truly hope to serve you better and give you a smoother experience next time.","آسف جدًا لسماع إنك لا تزال حاب تلغي الطلب. تم تنفيذ طلب الإلغاء، وسيتم استرجاع المبلغ إلى وسيلة الدفع الأصلية اللي استخدمتها.
الاسترداد راح يظهر خلال 3 إلى 7 أيام عمل إذا كان الدفع عن طريق البطاقة أو Apple Pay، وخلال 24 إلى 48 ساعة إذا كان باستخدام رصيد نون (إذا انطبق).

تقدر تستخدم كود الخصم اللي شاركته معك سابقًا في طلبك القادم.
نأمل نخدمك بشكل أفضل في المرات القادمة ونقدم لك تجربة تسوق مميزة."
"Retention Script 2 in ""Out of Stock Cases""

We can waive the ""Delivery Fee if applicable, or Offer a Coupon Code and try to convince the customer

If still Cx adamant to cancel the order, make sure we inform Cx about OOS, Replacement Offered/Not Offered etc. as per Order Status on CS Tool
","I’m very sorry about this experience—it’s definitely not what we want for our customers. I can arrange a refund of the delivery fee (AED/SAR XX) for this order.

If that works for you, I’ll raise a ticket right away to process the refund. Would you like me to go ahead?","أعتذر جدًا عن هذه التجربة، فهي بالتأكيد ليست ما نطمح إليه لعملائنا. أقدر أرجع لك رسوم التوصيل بقيمة XX درهم/ريال على هذا الطلب.

إذا كان يناسبك، راح أفتح تذكرة الآن علشان نبدأ في إجراءات الاسترداد. تحب أتابع؟"
"Retention Script 2 in ""Out of Stock Cases""

We can waive the ""Delivery Fee if applicable, or Offer a Coupon Code and try to convince the customer

If still Cx adamant to cancel the order, make sure we inform Cx about OOS, Replacement Offered/Not Offered etc. as per Order Status on CS Tool
","The amount should reflect in your source card or bank account within 3–7 working days, depending on your bank’s policy. Let me know if you need any further assistance!","راح يظهر المبلغ في بطاقتك أو حسابك البنكي خلال 3 إلى 7 أيام عمل، وذلك حسب سياسة البنك الخاص بك.
إذا تحتاج أي مساعدة إضافية، أنا حاضر!"
"Order cancelled by CS:  Placed, Accepted or replaced status","We're sorry to hear you'd like to cancel your order. As requested, it has been cancelled from my side.

Please note that no charges were applied, as we only charge once the order is marked as shipped.","نأسف لسماع رغبتك في إلغاء الطلب. تم الإلغاء من جانبي بناءً على طلبك.

يرجى ملاحظة أنه لم يتم خصم أي مبلغ، حيث نقوم بعملية الخصم فقط بعد أن يتم تجهيز الطلب للشحن."
"Order cancelled by CS:  Approved, Ready to pack, Ready to Ship, OFD status","We're sorry to hear you'd like to cancel your order. As requested, it has been cancelled.

If you paid by card or Apple Pay, the refund will reflect within 3–7 business days, depending on your bank's policy. For Noon Credits, the refund will appear in your wallet within 24–48 hours","نأسف لسماع رغبتك في إلغاء الطلب. تم الإلغاء بناءً على طلبك.

إذا تم الدفع باستخدام البطاقة أو Apple Pay، فسيتم استرجاع المبلغ خلال ٣ إلى ٧ أيام عمل، وذلك حسب سياسة البنك. أما إذا تم الدفع باستخدام رصيد نون، فسيظهر المبلغ في المحفظة خلال ٢٤ إلى ٤٨ ساعة."
Transfer NowNow Arabic Chat to arabic department,هلا! مرحبًا بك في ناو ناو، معك (Agent Name). يسعدني مساعدتك!,
Transfer NowNow Arabic Chat to arabic department,يرجى الانتظار، سأقوم بتحويل المحادثة إلى قسم الدعم باللغة العربية,
Transfer Noon Chat ,Thank you for reaching out to NowNow. I see that you're inquiring about an order from noon.com. Please hold while we transfer your chat. A Noon UAE representative will assist you shortly. Thank you for your patience.,"شكرًا لتواصلك مع ناو ناو. كما نرى أن استفسارك يتعلق بطلب من نون. يرجى الانتظار بينما نقوم بتحويل محادثتك إلى فريق نون الإمارات، وسيتم التواصل معك قريبًا. نقدر صبرك!
"
If Noon Chat not transferred ,"It seems the chat is not getting transferred. However, you can contact Noon’s customer support team at 80038888 from 9:00 AM to 11:00 PM or email them at care@noon.com, and they will assist you.",يبدو أن المحادثة لم يتم تحويلها. لا تقلق! يمكنك التواصل مباشرة مع فريق دعم عملاء نون على الرقم 80038888 من الساعة 9:00 صباحًا حتى 11:00 مساءً، أو عبر البريد الإلكتروني care@noon.com، وسيكونون سعداء بمساعدتك.
Noon Food Chat Transfer - Noon food Enquiry,"Thank you for reaching out to NowNow. Since your inquiry is about a Noon Food order, please follow these steps:

- Open the Noon Food app.
- Go to the Accounts page.
- Navigate to the Orders section.
- Select the order you need help with.
- Tap the Help button.
- Choose the appropriate reason for your issue.

The Noon Food team will review your request and assist you accordingly.","شكرًا لتواصلك مع ناو ناو. نظرًا لأن استفسارك يخص طلبًا من نون فود، يُرجى اتباع الخطوات التالية للحصول على المساعدة:
نرجو منك الدخول على تطبيق نون فود.
انتقل إلى صفحة ""الحساب"".
اضغط على ""الطلبات"" واختر الطلب المعني.
اضغط على ""المساعدة"" وحدد السبب المناسب لمشكلتك.
سيتولى فريق نون فود مراجعة طلبك وتقديم الدعم اللازم لك."
ADDRESS CHANGE - SPECIAL REQUEST,"We have forwarded your address change request to the logistics team, and you will receive an update within 10-15 minutes.

The team will check if delivery to the updated location is possible; otherwise, they will get back to you.

If the new address is nearby, I recommend waiting until the order is shipped. You will receive the delivery agent’s contact details via the app, and you can coordinate directly with them regarding the address","""يرجى العلم أنه تم رفع طلب تعديل لعنوانك إلى فريق الخدمات اللوجستية، وسيتم تحديثك خلال 10-15 دقيقة.
سيقوم الفريق بالتحقق من إمكانية التوصيل إلى العنوان الجديد، وفي حال تعذر ذلك، سيتم التواصل معك لإبلاغك بالخيارات المتاحة.
إذا كان العنوان الجديد قريبًا، نوصي بالانتظار حتى يتم شحن الطلب، حيث ستتلقى تفاصيل مندوب التوصيل عبر التطبيق، مما يتيح لك التنسيق معه مباشرة بشأن العنوان."
CX WANTS TO CANCEL THE ORDER IN READY TO PACK STAGE,"Inform the customer that the order is in the preparation stage and it cannot be canceled. 
But If the customer still insists to Cancel - Update the CX about the discount part (if used any discount in order)","Inform the customer that the order is in the preparation stage and it cannot be canceled. 
But If the customer still insists to Cancel - Update the CX about the discount part (if used any discount in order)"
CX WANTS TO CANCEL THE ORDER IN READY TO PACK STAGE,Your cancellation request has been raised and will be reviewed by our team within 10-15 minutes. You can track the order status in the app for further updates,"تم تقديم طلب الإلغاء الخاص بك وسيتم مراجعته من قبل فريقنا خلال 10-15 دقيقة. يمكنك متابعة حالة الطلب من خلال التطبيق لمزيد من التحديثات.

"
Update payment method ,"You won’t be able to update or change the payment method for an order that is being processed. 
However, for new orders, you can select your preferred card, add a new card, or use Apple Pay and Noon Credits at checkout.","يرجى العلم أنه لا يمكن تعديل طريقة الدفع أثناء معالجة الطلب الحالي.
ومع ذلك، يمكنك تحديد بطاقة مفضلة، إضافة بطاقة جديدة، أو استخدام Apple Pay وNoon Credits عند إتمام الدفع للطلبات المستقبلية."
Feedback Statement 1,"Thank you for sharing your feedback. I’m really sorry for the trouble this has caused. I completely understand how frustrating this can be, and I’ve shared your concerns with the team so they can work on improving this experience","شكرًا لمشاركتك ملاحظاتك. لقد قمت بتمريرها إلى الفريق المعني للعمل على تحسين التجربة مستقبلاً، ونأسف لأي إزعاج.
"
Feedback Statement 2,I’ve noted your feedback and passed it along to the team. They’ll be looking into this closely to help improve the experience going forward. We’ll do our best to make sure this doesn’t happen again,تم تسجيل ملاحظاتك ومشاركتها مع الفريق المختص لمراجعتها وتحسين التجربة مستقبلاً. نحرص دائمًا على تطوير خدماتنا لضمان أفضل تجربة ممكنة.
"I WANT TO ADD MORE QUANTITY, BUT SYSTEM IS NOT ALLOWIING","To ensure a fair chance for all customers, store partners may set purchase limits based on stock availability.

If you’ve reached the maximum quantity allowed for an item, the system will automatically restrict adding more units to your cart. You can always check back later, as availability may change.","لضمان فرصة عادلة لجميع العملاء، قد يحدد شركاء المتاجر حدودًا للشراء بناءً على توفر المخزون.
إذا وصلت إلى الحد الأقصى المسموح به لمنتج معين، فسيقوم النظام تلقائيًا بوقف إضافة المزيد من الوحدات إلى سلة التسوق.نوصي بالتحقق لاحقًا، حيث قد يتغير التوفر بمرور الوقت."
CX WANTS TO CANCEL THE ORDER IN SHIPPED STAGE,"Inform the customer that the order is shipped and it cannot be canceled. 
But If the customer still insists to Cancel - Update the CX about the discount part (if used any discount in order)",نظرًا لأن طلبك قد تم شحنه بالفعل، لا يمكن إلغاؤه في هذه المرحلة. ومع ذلك، إذا كنت لا تزال ترغب في الإلغاء، يرجى ملاحظة أن أي خصومات تم استخدامها عند الطلب قد لا تكون قابلة للاسترداد. لا تتردد في إبلاغي بكيفية رغبتك في المتابعة.
CX WANTS TO CANCEL THE ORDER IN SHIPPED STAGE,Your cancellation request has been submitted and will be reviewed by our team within 10–15 minutes. You can track the status in the app for the latest updates.,تم تقديم طلب الإلغاء الخاص بك وهو قيد المراجعة من قبل فريقنا. ستتم معالجته خلال 10-15 دقيقة، ويمكنك متابعة حالته من خلال التطبيق للاطلاع على آخر التحديثات.
"IF CX ASKS in a 'WRONG / MISSING' etc, type of COMPLAINTS, ""WHAT WILL HE/SHE GET, whether a ""REFUND / REPLACEMENT""?","I completely understand your concern. Our order management team will review this and coordinate with the store partner. They’ll update you on the status of your refund or replacement within the given timeframe.

Thank you for your patience while this is being looked into.","نتفهم استفسارك، ويعمل فريق إدارة الطلبات على مراجعة الأمر والتنسيق مع المتجر الشريك. سيتم تزويدك بتحديث بشأن استرداد المبلغ أو الاستبدال ضمن الإطار الزمني المحدد.
نقدر صبرك وتعاونك."
"No Amount is charged when order is placed, it will be charged when order is shipped.",Our payment process is designed to authorize the amount at the time of order placement but capture it only when the order is approved. This means you haven’t been charged for this order yet — the charge will only be applied once the order is shipped.,في عملية الدفع لدينا، يتم حجز المبلغ عند تقديم الطلب، ولكن لا يتم خصمه إلا بعد الموافقة على الطلب. هذا يعني أن المبلغ لم يُخصم منك بعد، وسيتم الخصم فقط عند شحن الطلب.
"No Amount is charged when order is placed, it will be charged when order is shipped- response 2","Our payment process allows us to authorize the amount at the time of order placement but capture it only when the order is shipped. The final amount charged will correspond to the value of the items that are shipped and delivered to you.

So, if any item from your order gets canceled, you won’t be charged for that item in the final amount.","في عملية الدفع لدينا، يتم حجز المبلغ عند تقديم الطلب، ولكن لا يتم خصمه إلا عند شحن الطلب. سيتم الخصم بناءً على قيمة المنتجات التي تم شحنها وتسليمها إليك.
لذلك، في حال إلغاء أي منتج من طلبك، لن يتم خصم قيمته من المبلغ النهائي."
Is my information safe on your App/website?,"Yes, your information is completely safe and confidential with us. We do not share it with any third party.

It’s securely stored in our system and only used to assist you whenever you have a query regarding your order or our service.",نعم، بياناتك محفوظة بأمان وسرية تامة. نحن لا نشاركها مع أي جهة خارجية، ويتم تخزينها بشكل آمن في نظامنا، حيث تُستخدم فقط لتقديم الدعم اللازم عند الحاجة إلى أي استفسارات حول طلباتك أو خدماتنا.
Is your Application/website is safe to use?,"Yes, our app is completely safe to use. We have advanced security measures in place to protect your data and ensure secure transactions.

Your privacy is a top priority, and we do not share your information with any third parties.","""نعم، تطبيقنا آمن تمامًا، حيث نعتمد على أحدث إجراءات الأمان لحماية بياناتك وضمان عمليات دفع موثوقة. نلتزم بحماية خصوصيتك، ولا نشارك معلوماتك مع أي جهة خارجية."
Is your Application/website is safe to use?,"Yes, our app is completely safe to use. We have advanced security measures in place to protect your data and ensure secure transactions.

Your privacy is a top priority, and we do not share your information with any third parties.","نعم، تطبيقنا آمن تمامًا للاستخدام. لدينا تدابير أمان متقدمة لحماية بياناتك وضمان إجراء المعاملات بشكل آمن.

خصوصيتك من أولوياتنا، ولا نقوم بمشاركة معلوماتك مع أي جهة خارجية.
"
When a customer inquires about a feature that is not supported or implemented in our system.,"This feature/service isn’t available at the moment, but we’d be happy to support you if it’s introduced in the future.
Appreciate your understanding!","هذه الميزة/الخدمة غير متوفرة في الوقت الحالي، ولكن يسعدنا مساعدتك إذا تم توفيرها في المستقبل.
نقدّر تفهمك!"
When a customer inquires about a feature that is not supported or implemented in our system.,"Although this feature isn’t available at the moment, we’ll be happy to help if it’s added in the future.",على الرغم من أن هذه الميزة غير متوفرة حاليًا، إلا أننا سنكون سعداء بمساعدتك إذا تم توفيرها في المستقبل.
